"ticker","rsi","rs","price","price_change","price_change_ratio","price_change_ratio_1m","id","title","source","publish_date"
"FDC","80.6","","16100","-1200","-0.069","0.073","11256280","FDC:  Đính chính báo cáo về ngày trở thành nhóm cổ đông lớn Bùi Thị Vân Nga, Nguyễn Tuấn Anh","TCBS","2024-07-15 17:28:00"
"FDC","53","","15500","900","0.062","0.084","11252073","FDC:  Thông báo ký kết hợp đồng kiểm toán BCTC 2024","TCBS","2024-07-10 16:32:00"
"FDC","53","","14600","0","0","0.021","11250656","FDC:  Nghị quyết HĐQT về việc lựa chọn đơn vị kiểm toán cho năm 2024","TCBS","2024-07-09 17:20:00"
"FDC","53","","14600","0","0","0.021","11249146","FDC:  Giải trình biện pháp khắc phục lỗ và tình trạng chứng khoán bị cảnh báo","TCBS","2024-07-08 16:45:00"
"FDC","53","","14600","0","0","0.021","11249109","FDC:  Thông báo thay đổi nhân sự thành viên UBKT","TCBS","2024-07-08 16:32:00"
"FDC","57.9","","14600","-250","-0.017","0","11244720","FDC:  CBTT Nghị quyết HĐQT về việc thay đổi Chủ tịch HĐQT","TCBS","2024-07-03 16:47:00"
"FDC","57.9","","14850","0","0","0.017","11232734","Fideco (FDC), gần nửa vốn điều lệ ""sang tên"" trước đại hội","TCBS","2024-07-01 11:07:00"
"FDC","57.9","","14850","0","0","-0.036","11231952","FDC:  Báo cáo về ngày trở thành cổ đông lớn Nguyễn Tuấn Anh, Bùi Thị Vân Nga, Lê Thu Hiền","TCBS","2024-06-28 18:28:00"
"FGL","0","","11000","0","0","0","11265612","FGL: Công văn Giải trình - báo cáo biện pháp khắc phục tình trạng chứng khoán vào diện cảnh báo Quý 2 năm 2024","TCBS","2024-07-23 14:00:00"
"FGL","0","","11000","0","0","0","11265275","FGL: Báo cáo tài chính quý 2/2024","TCBS","2024-07-23 11:20:00"
"FGL","0","","11000","0","0","0","11250528","FGL: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-09 15:18:00"
"FGL","0","","11000","0","0","0","11245880","FGL: Thay đổi giấy đăng ký kinh doanh","TCBS","2024-07-04 14:25:00"
"FGL","0","","11000","0","0","0","11245882","FGL: Ký hợp đồng kiểm toán thực hiện soát xét báo cáo tài chính 6 tháng đầu năm 2024 và kiểm toán báo cáo tài chính năm 2024","TCBS","2024-07-04 14:24:00"
"FGL","0","","11000","0","0","0","11230226","FGL: Thay đổi nhân sự","TCBS","2024-06-27 17:15:00"
"FGL","0","","11000","0","0","0","11230228","FGL: Thay đổi nhân sự","TCBS","2024-06-27 17:14:00"
"FGL","0","","11000","0","0","0","11230231","FGL: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","TCBS","2024-06-27 17:09:00"
"FGL","0","","11000","0","0","0","11217756","FGL: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-06-14 15:37:00"
"FGL","0","","11000","0","0","0","11201341","FGL: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-05-30 17:16:00"
"FGL","0","","11000","0","0","0","11197343","FGL: Tài liệu họp Đại hội đồng cổ đông","TCBS","2024-05-27 16:29:00"
"FGL","0","","11000","0","0","0","11186726","FGL: CTCP Năng lượng Nghĩa Hưng đã bán 160.762 CP","TCBS","2024-05-16 16:20:00"
"FGL","0","","11000","0","0","0","11186727","FGL: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Nguyễn Thị Thu Vân","TCBS","2024-05-16 16:17:00"
"FGL","0","","11000","0","0","0","11186684","FGL: Trịnh Đình Trường- Chủ tịch HĐQT - đã bán 738.505 CP","TCBS","2024-05-16 16:13:00"
"FGL","0","","11000","0","0","0","11186685","FGL: Lê Thị Thanh Tình - người có liên quan đến Chủ tịch HĐQT - đã bán 1.000.000 CP","TCBS","2024-05-16 16:10:00"
"FHN","68.4","","14100","0","0","0.248","11270470","FHN: Báo cáo quản trị công ty bán niên 2024","TCBS","2024-07-26 16:44:00"
"FHN","0","","9000","0","0","-0.357","11219346","FHN: Trần Linh Phương - người có liên quan đến Giám đốc; Ủy viên HĐQT - đã mua 45.600 CP","TCBS","2024-06-17 14:27:00"
"FHN","0","","14000","0","0","0","11213739","FHN: Trần Linh Phương - người có liên quan đến Giám đốc; Ủy viên HĐQT - đăng ký mua 45.600 CP","TCBS","2024-06-12 09:00:00"
"FHN","0","","14000","0","0","0","11170796","FHN: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","TCBS","2024-05-02 17:19:00"
"FHN","0","","14000","0","0","0","11165029","FHN: Công bố thông tin về ngày đăng ký cuối cùng để chi trả cổ tức năm 2023","TCBS","2024-04-24 16:02:00"
